Date/Time,ZONE SURFACE NORTH:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE NORTH:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE NORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE EAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE WEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Air System Sensible Cooling Energy [J](Hourly) 
 01/01  11:00:00,0.0,0.0,81.34299308954343,16.200000000000003,1.0,100.18363232064011,9.600000000000001,1.0,126.69756838216001,0.0,0.0,81.34299308954343,48.0,1.0,169.49027459124494,6.0,1.0,126.69756838216001,499.6677347952446,83.0438837017853,416.6238510934593,1798803.8452628804,298957.98132642714,1499845.8639364534,6.0,1.0,126.69756838216001,499.6677347952446,83.0438837017853,416.6238510934593,1798803.8452628804,298957.98132642714,1499845.8639364534,20.0,5344093.906879078,0.0 
 01/01  12:00:00,0.0,0.0,91.9878394280798,16.200000000000003,1.0,99.22810373495597,9.600000000000001,1.0,162.20244083191324,0.0,0.0,91.9878394280798,48.0,1.0,195.78671221838346,6.0,1.0,162.20244083191324,642.4749011281027,123.56282037481057,518.9120807532921,2312909.64406117,444826.1533493181,1868083.4907118515,6.0,1.0,162.20244083191324,642.4749011281027,123.56282037481057,518.9120807532921,2312909.64406117,444826.1533493181,1868083.4907118515,20.0,4266706.470108539,0.0 
 01/01  13:00:00,0.0,0.0,83.44964768395579,0.0,0.0,83.44964768395579,9.600000000000001,1.0,146.89721034572548,16.200000000000003,1.0,91.8009310127404,48.0,1.0,177.36866420082623,6.0,1.0,146.89721034572548,584.0470546416279,129.0261944929428,455.02086014868513,2102569.396709861,464494.30017459404,1638075.0965352664,6.0,1.0,146.89721034572548,584.0470546416279,129.0261944929428,455.02086014868513,2102569.396709861,464494.30017459404,1638075.0965352664,20.0,3243982.54711912,0.0 
 01/01  14:00:00,0.0,0.0,44.115674813006066,0.0,0.0,44.115674813006066,9.600000000000001,1.0,47.08473454847369,16.200000000000003,1.0,45.09677543503153,48.0,1.0,85.33844165356889,6.0,1.0,47.08473454847369,183.09310733051535,9.844653672797758,173.24845365771762,659135.1863898553,35440.75322207193,623694.4331677834,6.0,1.0,47.08473454847369,183.09310733051535,9.844653672797758,173.24845365771762,659135.1863898553,35440.75322207193,623694.4331677834,20.0,3913369.0725957267,0.0 
 01/01  15:00:00,0.0,0.0,29.934084390371762,0.0,0.0,29.934084390371762,9.600000000000001,1.0,29.934084390371762,16.200000000000003,1.0,29.934084390371762,48.0,1.0,57.4375,6.0,1.0,29.934084390371762,115.60547053831826,0.0,115.60547053831826,416179.6939379457,0.0,416179.6939379457,6.0,1.0,29.934084390371762,115.60547053831826,0.0,115.60547053831826,416179.6939379457,0.0,416179.6939379457,20.0,4861092.144201843,0.0 
 01/01  16:00:00,0.0,0.0,15.56064808623707,0.0,0.0,15.56064808623707,9.600000000000001,1.0,15.56064808623707,16.200000000000003,1.0,15.56064808623707,48.0,1.0,30.0625,6.0,1.0,15.56064808623707,60.095241946642915,0.0,60.095241946642915,216342.8710079145,0.0,216342.8710079145,6.0,1.0,15.56064808623707,60.095241946642915,0.0,60.095241946642915,216342.8710079145,0.0,216342.8710079145,20.0,5575147.191415994,0.0 
 01/01  17:00:00,0.0,0.0,1.1203957419970536,0.0,0.0,1.1203957419970536,4.800000000000001,0.5,1.1203957419970536,8.100000000000001,0.5,1.1203957419970536,24.0,0.5,2.1875,3.0,0.5,1.1203957419970536,4.326969726335064,0.0,4.326969726335064,15577.09101480623,0.0,15577.09101480623,3.0,0.5,1.1203957419970536,4.326969726335064,0.0,4.326969726335064,15577.09101480623,0.0,15577.09101480623,20.0,6384664.80713696,0.0 
 01/01  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7053856.884496262,0.0 
 01/01  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7509251.099748065,0.0 
 01/01  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7841603.349613237,0.0 
 01/01  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8040241.674998123,0.0 
 01/01  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999996,8221679.161748987,0.0 
 01/01  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8451737.188855985,0.0 
 01/01  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999996,8663618.924014695,0.0 
 01/02  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8887626.941552408,0.0 
 01/02  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9089847.76115049,0.0 
 01/02  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9275998.295742143,0.0 
 01/02  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9510428.461868968,0.0 
 01/02  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000004,9886315.952680707,0.0 
 01/02  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10355637.397381559,0.0 
 01/02  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10749943.16380408,0.0 
 01/02  08:00:00,0.0,0.0,17.666396340619976,12.150000000000002,0.75,403.58839685592704,7.200000000000001,0.75,277.24928249936016,0.0,0.0,17.666396340619976,36.0,0.75,47.71142297717073,4.5,0.75,277.24928249936016,1086.1670936174328,965.7699810553429,120.39711256208986,3910201.5370227573,3476771.9317992344,433429.6052235235,4.5,0.75,277.24928249936016,1086.1670936174328,965.7699810553429,120.39711256208986,3910201.5370227573,3476771.9317992344,433429.6052235235,20.0,8413652.009602478,0.0 
 01/02  09:00:00,0.0,0.0,47.06614276942606,16.200000000000003,1.0,672.9019845620925,9.600000000000001,1.0,630.8195001799113,0.0,0.0,47.06614276942606,48.0,1.0,196.85053862220659,6.0,1.0,630.8195001799113,2615.5360941594176,2231.0365281843087,384.4995659751088,9415929.938973902,8031731.501463512,1384198.437510392,6.0,1.0,630.8195001799113,2615.5360941594176,2231.0365281843087,384.4995659751088,9415929.938973902,8031731.501463512,1384198.437510392,20.092396779755955,1711003.8432487918,0.0 
 01/02  10:00:00,0.0,0.0,69.11183084699701,16.200000000000003,1.0,590.1928748786715,9.600000000000001,1.0,808.6855010969293,0.0,0.0,69.11183084699701,48.0,1.0,339.580935345622,6.0,1.0,808.6855010969293,3463.262221020095,3029.6689433921188,433.5932776279757,12467743.995672341,10906808.196211629,1560935.7994607124,6.0,1.0,808.6855010969293,3463.262221020095,3029.6689433921188,433.5932776279757,12467743.995672341,10906808.196211629,1560935.7994607124,23.724021465368736,0.0,0.0 
 01/02  11:00:00,0.0,0.0,81.4266601013932,16.200000000000003,1.0,415.9866873329552,9.600000000000001,1.0,925.8464616601907,0.0,0.0,81.4266601013932,48.0,1.0,442.21677552008,6.0,1.0,925.8464616601907,4018.628548764039,3536.22163159837,482.40691716566874,14467062.77555054,12730397.873754133,1736664.9017964075,6.0,1.0,925.8464616601907,4018.628548764039,3536.22163159837,482.40691716566874,14467062.77555054,12730397.873754133,1736664.9017964075,26.976437880634684,0.0,5598734.129161417 
 01/02  12:00:00,0.0,0.0,86.33670402922716,16.200000000000003,1.0,190.68141418137014,9.600000000000001,1.0,977.2799661021667,0.0,0.0,86.33670402922716,48.0,1.0,491.06607102981815,6.0,1.0,977.2799661021667,4262.351042740231,3762.054259057663,500.29678368256754,15344463.75386483,13543395.332607588,1801068.4212572433,6.0,1.0,977.2799661021667,4262.351042740231,3762.054259057663,500.29678368256754,15344463.75386483,13543395.332607588,1801068.4212572433,26.99999980734554,0.0,13629939.517712114 
 01/02  13:00:00,0.0,0.0,84.50836274608673,0.0,0.0,84.50836274608673,9.600000000000001,1.0,959.3660176144249,16.200000000000003,1.0,219.04047090341646,48.0,1.0,480.1449007885808,6.0,1.0,959.3660176144249,4183.22364525643,3693.5826581892097,489.6409870672199,15059605.122923147,13296897.569481157,1762707.5534419916,6.0,1.0,959.3660176144249,4183.22364525643,3693.5826581892097,489.6409870672199,15059605.122923147,13296897.569481157,1762707.5534419916,26.99999999844249,0.0,17631242.4266389 
 01/02  14:00:00,0.0,0.0,75.26042624016281,0.0,0.0,75.26042624016281,9.600000000000001,1.0,868.0569042450618,16.200000000000003,1.0,420.1304322161454,48.0,1.0,408.76408477281154,6.0,1.0,868.0569042450618,3764.6491734271494,3319.5216003942583,445.1275730328907,13552737.024337739,11950277.76141933,1602459.2629184069,6.0,1.0,868.0569042450618,3764.6491734271494,3319.5216003942583,445.1275730328907,13552737.024337739,11950277.76141933,1602459.2629184069,26.999999999981675,0.0,18148028.66679892 
 01/02  15:00:00,0.0,0.0,51.9691675075784,0.0,0.0,51.9691675075784,9.600000000000001,1.0,612.5192813965788,16.200000000000003,1.0,462.2220144906779,48.0,1.0,251.563613900873,6.0,1.0,612.5192813965788,2614.4075048056998,2245.90655000814,368.50095479755936,9411867.01730052,8085263.580029305,1326603.4372712136,6.0,1.0,612.5192813965788,2614.4075048056998,2245.90655000814,368.50095479755936,9411867.01730052,8085263.580029305,1326603.4372712136,26.999999999999805,0.0,14716535.710931001 
 01/02  16:00:00,0.0,0.0,14.595937743055378,0.0,0.0,14.595937743055378,9.600000000000001,1.0,59.37377677345566,16.200000000000003,1.0,58.58558819048659,48.0,1.0,36.09377141042565,6.0,1.0,59.37377677345566,243.116859827829,151.99225049285204,91.12460933497697,875220.6953801843,547172.1017742674,328048.59360591706,6.0,1.0,59.37377677345566,243.116859827829,151.99225049285204,91.12460933497697,875220.6953801843,547172.1017742674,328048.59360591706,26.991173536952058,0.0,3649287.777441593 
 01/02  17:00:00,0.0,0.0,0.9267356365101332,0.0,0.0,0.9267356365101332,4.800000000000001,0.5,0.9267356365101332,8.100000000000001,0.5,0.9267356365101332,24.0,0.5,1.8125,3.0,0.5,0.9267356365101332,3.5790541620121115,0.0,3.5790541620121115,12884.594983243602,0.0,12884.594983243602,3.0,0.5,0.9267356365101332,3.5790541620121115,0.0,3.5790541620121115,12884.594983243602,0.0,12884.594983243602,24.549067632581345,0.0,0.0 
 01/02  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.596628901466637,756631.4951278749,0.0 
 01/02  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000024672786,4484777.334976893,0.0 
