Date/Time,ZONE SURFACE NORTH:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE NORTH:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE NORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE EAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE WEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Operative Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Air System Sensible Cooling Energy [J](Hourly) 
 01/01  11:00:00,0.0,0.0,81.34299308954343,16.200000000000003,1.0,100.1836323206401,9.600000000000001,1.0,126.69756838216001,0.0,0.0,81.34299308954343,48.0,1.0,169.49027459124494,6.0,1.0,126.69756838216001,499.66773479588136,83.04388370242212,416.6238510934593,1798803.8452651731,298957.98132871964,1499845.8639364534,6.0,1.0,126.69756838216001,499.66773479588136,83.04388370242212,416.6238510934593,1798803.8452651731,298957.98132871964,1499845.8639364534,20.0,18.507632924991416,5344177.906333608,0.0 
 01/01  12:00:00,0.0,0.0,91.9878394280798,16.200000000000003,1.0,99.22810373495597,9.600000000000001,1.0,162.20244083191324,0.0,0.0,91.9878394280798,48.0,1.0,195.78671221838346,6.0,1.0,162.20244083191324,642.4749011275895,123.56282037429742,518.9120807532921,2312909.6440593223,444826.1533474708,1868083.4907118515,6.0,1.0,162.20244083191324,642.4749011275895,123.56282037429742,518.9120807532921,2312909.6440593223,444826.1533474708,1868083.4907118515,20.0,18.81762154439235,4267225.630593757,0.0 
 01/01  13:00:00,0.0,0.0,83.44964768395579,0.0,0.0,83.44964768395579,9.600000000000001,1.0,146.89721034572548,16.200000000000003,1.0,91.8009310127404,48.0,1.0,177.36866420082623,6.0,1.0,146.89721034572548,584.0470546411751,129.02619449249005,455.02086014868513,2102569.3967082305,464494.3001729641,1638075.0965352664,6.0,1.0,146.89721034572548,584.0470546411751,129.02619449249005,455.02086014868513,2102569.3967082305,464494.3001729641,1638075.0965352664,20.0,19.17531930569499,3244052.108886777,0.0 
 01/01  14:00:00,0.0,0.0,44.115674813006066,0.0,0.0,44.115674813006066,9.600000000000001,1.0,47.08473454847369,16.200000000000003,1.0,45.09677543503153,48.0,1.0,85.33844165356889,6.0,1.0,47.08473454847369,183.0931073305478,9.84465367283019,173.24845365771762,659135.1863899721,35440.75322218869,623694.4331677834,6.0,1.0,47.08473454847369,183.0931073305478,9.84465367283019,173.24845365771762,659135.1863899721,35440.75322218869,623694.4331677834,20.0,18.846322258482992,3913558.015003958,0.0 
 01/01  15:00:00,0.0,0.0,29.934084390371762,0.0,0.0,29.934084390371762,9.600000000000001,1.0,29.934084390371762,16.200000000000003,1.0,29.934084390371762,48.0,1.0,57.4375,6.0,1.0,29.934084390371762,115.60547053831826,0.0,115.60547053831826,416179.69393794565,0.0,416179.69393794565,6.0,1.0,29.934084390371762,115.60547053831826,0.0,115.60547053831826,416179.69393794565,0.0,416179.69393794565,20.0,18.488338572208974,4861019.554592891,0.0 
 01/01  16:00:00,0.0,0.0,15.56064808623707,0.0,0.0,15.56064808623707,9.600000000000001,1.0,15.56064808623707,16.200000000000003,1.0,15.56064808623707,48.0,1.0,30.0625,6.0,1.0,15.56064808623707,60.095241946642915,0.0,60.095241946642915,216342.8710079145,0.0,216342.8710079145,6.0,1.0,15.56064808623707,60.095241946642915,0.0,60.095241946642915,216342.8710079145,0.0,216342.8710079145,20.0,18.23792318960647,5575057.804834829,0.0 
 01/01  17:00:00,0.0,0.0,1.1203957419970536,0.0,0.0,1.1203957419970536,4.800000000000001,0.5,1.1203957419970536,8.100000000000001,0.5,1.1203957419970536,24.0,0.5,2.1875,3.0,0.5,1.1203957419970536,4.326969726335064,0.0,4.326969726335064,15577.09101480623,0.0,15577.09101480623,3.0,0.5,1.1203957419970536,4.326969726335064,0.0,4.326969726335064,15577.09101480623,0.0,15577.09101480623,20.0,17.981019329370042,6384904.5686240615,0.0 
 01/01  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.786297579619276,7053500.597278507,0.0 
 01/01  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.65937437900088,7508405.059254279,0.0 
 01/01  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.575316324291517,7841271.907902619,0.0 
 01/01  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.525844474131436,8040173.917512213,0.0 
 01/01  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.481909361016424,8222231.96228048,0.0 
 01/01  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000004,17.427489822992637,8452008.5145213,0.0 
 01/01  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.377459524479985,8663383.861459944,0.0 
 01/02  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.32522158820955,8887082.483581804,0.0 
 01/02  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999996,17.279294563643234,9090404.460665258,0.0 
 01/02  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.23693990738799,9277462.829934198,0.0 
 01/02  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.185551686750347,9511373.083866328,0.0 
 01/02  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.106736947281128,9885143.83533889,0.0 
 01/02  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.008197999851994,10354357.1061653,0.0 
 01/02  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.92057252577388,10750355.529837998,0.0 
 01/02  08:00:00,0.0,0.0,17.666396340619976,12.150000000000002,0.75,403.58839685592704,7.200000000000001,0.75,277.24928249936016,0.0,0.0,17.666396340619976,36.0,0.75,47.71142297717073,4.5,0.75,277.24928249936016,1086.1670935972256,965.7699810351357,120.39711256208982,3910201.536950012,3476771.9317264888,433429.60522352334,4.5,0.75,277.24928249936016,1086.1670935972256,965.7699810351357,120.39711256208982,3910201.536950012,3476771.9317264888,433429.60522352334,20.0,17.752906708194736,8413583.026787981,0.0 
 01/02  09:00:00,0.0,0.0,47.06614276942606,16.200000000000003,1.0,672.9019845620925,9.600000000000001,1.0,630.8195001799113,0.0,0.0,47.06614276942606,48.0,1.0,196.85053862220656,6.0,1.0,630.8195001799113,2615.536094160874,2231.036528185765,384.4995659751088,9415929.938979147,8031731.501468754,1384198.4375103915,6.0,1.0,630.8195001799113,2615.536094160874,2231.036528185765,384.4995659751088,9415929.938979147,8031731.501468754,1384198.4375103915,20.092489329225984,20.348614516641284,1710650.2832241862,0.0 
 01/02  10:00:00,0.0,0.0,69.11183084699701,16.200000000000003,1.0,590.1928748786715,9.600000000000001,1.0,808.6855010969293,0.0,0.0,69.11183084699701,48.0,1.0,339.580935345622,6.0,1.0,808.6855010969293,3463.2622210694626,3029.668943441487,433.5932776279757,12467743.995850066,10906808.196389353,1560935.7994607124,6.0,1.0,808.6855010969293,3463.2622210694626,3029.668943441487,433.5932776279757,12467743.995850066,10906808.196389353,1560935.7994607124,23.72446448275403,24.9910218988395,0.0,0.0 
 01/02  11:00:00,0.0,0.0,81.4266601013932,16.200000000000003,1.0,415.9866873329552,9.600000000000001,1.0,925.8464616601907,0.0,0.0,81.4266601013932,48.0,1.0,442.21677552008,6.0,1.0,925.8464616601907,4018.6285487882506,3536.2216316225818,482.40691716566874,14467062.775637703,12730397.873841295,1736664.9017964075,6.0,1.0,925.8464616601907,4018.6285487882506,3536.2216316225818,482.40691716566874,14467062.775637703,12730397.873841295,1736664.9017964075,26.97646333328643,29.774835546419446,0.0,5598812.743272163 
 01/02  12:00:00,0.0,0.0,86.33670402922716,16.200000000000003,1.0,190.68141418137014,9.600000000000001,1.0,977.2799661021666,0.0,0.0,86.33670402922716,48.0,1.0,491.06607102981815,6.0,1.0,977.2799661021666,4262.351042726195,3762.054259043627,500.29678368256754,15344463.7538143,13543395.332557058,1801068.421257243,6.0,1.0,977.2799661021666,4262.351042726195,3762.054259043627,500.29678368256754,15344463.7538143,13543395.332557058,1801068.421257243,26.999999807526663,31.684637661943594,0.0,13630263.373326555 
